Timestamp,x,y
693.7,541.9027649,361.432013
693.8,542.0126649,361.412013
693.9,542.1305649,361.387013
694,542.2404649,361.372013
694.1,542.3411649,361.347013
694.2,542.4387649,361.328013
694.3,542.5315649,361.317013
694.4,542.6315649,361.310013
694.5,542.7382649,361.303013
694.6,542.8359649,361.301013
